epoch,loss,reward,step
0,0.09454330801963806,-0.027804218232631683,49
0,0.027112819254398346,0.04120134562253952,99
0,0.06664320826530457,-0.016129393130540848,149
1,0.05612126365303993,0.04314367100596428,199
1,0.052735164761543274,0.03316061943769455,249
1,0.12132664024829865,-0.06438888609409332,299
2,0.08782149106264114,0.032117899507284164,349
2,0.19531840085983276,-0.1114376112818718,399
2,0.06458096951246262,0.015281759202480316,449
2,0.043769482523202896,0.02169051021337509,499
